ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
449,85000,delivered,1,3,0,75,15,9000,not_often,fair,11000,0,0,0,0,180,174.52,9
450,85000,delivered,1,4,0,75,15,9000,often,fair,8000,0,0,0,0,110,255.15,11
451,40000,delivered,1,4,0,75,60,3000,not_often,good,3000,0,0,0,0,110,297.06,11
452,40000,well,2,4,0,75,15,1000,often,poor,2000,0,0,0,0,110,276.74,10
453,60000,delivered,1,3,0,75,40,9000,often,fair,7000,0,0,0,0,140,261.28,9
454,55000,delivered,1,3,0,75,40,9000,often,fair,7000,0,0,0,0,160,209.29,8
455,95000,delivered,1,6,0,75,15,8000,not_often,fair,9000,0,0,0,0,80,238.03,6
456,95000,delivered,1,6,0,75,15,9000,not_often,fair,9000,0,0,0,0,90,160.65,8
457,95000,delivered,1,4,0,75,15,9000,often,fair,9000,0,0,0,0,130,152.07,6
458,95000,delivered,1,4,0,75,55,9000,not_often,good,4000,0,0,0,0,140,112.64,4
459,95000,delivered,1,3,0,75,40,9000,not_often,fair,7000,0,0,0,0,170,177.19,4
460,95000,delivered,1,4,0,75,30,9000,not_often,fair,7000,0,0,0,0,130,159.15,2
461,95000,delivered,1,3,0,75,40,9000,not_often,fair,7000,0,0,0,0,200,97.59,2
462,90000,delivered,1,6,0,75,15,9000,often,good,9000,0,0,0,0,100,80.06,3
463,45000,carried,1,3,0,75,40,9000,not_often,fair,7000,0,0,0,0,210,70.01,1
464,85000,delivered,1,6,0,75,55,8000,often,good,9000,0,0,0,0,80,183.13,4
465,105000,delivered,1,4,0,75,20,9000,not_often,fair,8000,0,0,0,0,140,116.71,4
466,105000,delivered,1,3,0,75,20,9000,not_often,good,12000,0,0,0,0,200,86.05,5
467,95000,carried,1,6,0,75,20,9000,not_often,fair,9000,0,0,0,0,110,46.53,3
468,65000,carried,1,5,0,75,40,9000,often,good,4000,0,0,0,0,130,52.33,3
469,65000,delivered,1,5,0,75,40,9000,often,good,4000,0,0,0,0,130,70.72,4
470,50000,delivered,1,4,0,75,55,9000,often,fair,4000,0,0,0,0,170,67.12,3
